"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1205","test_POST_CreateBooking","Restful Booker E2E Suite","Sat Aug 09 16:18:41 IST 2025","passed","Sat Aug 09 16:18:42 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_POST_CreateBooking"
"","1155","test_GET_BookingByID_Initial","Restful Booker E2E Suite","Sat Aug 09 16:18:42 IST 2025","passed","Sat Aug 09 16:18:43 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_GET_BookingByID_Initial"
"","1180","test_PATCH_UpdateBookingbyFirstnameandLastname","Restful Booker E2E Suite","Sat Aug 09 16:18:43 IST 2025","passed","Sat Aug 09 16:18:44 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_PATCH_UpdateBookingbyFirstnameandLastname"
"","1181","test_PUT_UpdateBooking","Restful Booker E2E Suite","Sat Aug 09 16:18:43 IST 2025","passed","Sat Aug 09 16:18:44 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_PUT_UpdateBooking"
"","1159","test_GET_BookingByID_AfterDelete","Restful Booker E2E Suite","Sat Aug 09 16:18:46 IST 2025","passed","Sat Aug 09 16:18:48 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_GET_BookingByID_AfterDelete"
"","2949","test_GET_PingRequest","Restful Booker E2E Suite","Sat Aug 09 16:18:36 IST 2025","passed","Sat Aug 09 16:18:39 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_GET_PingRequest"
"","1207","test_POST_CreateBooking","Restful Booker E2E Suite","Sat Aug 09 16:18:41 IST 2025","passed","Sat Aug 09 16:18:42 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_POST_CreateBooking"
"","1152","test_GET_BookingByID_AfterUpdate","Restful Booker E2E Suite","Sat Aug 09 16:18:44 IST 2025","passed","Sat Aug 09 16:18:45 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_GET_BookingByID_AfterUpdate"
"","1137","test_GET_BookingByID_AfterUpdate","Restful Booker E2E Suite","Sat Aug 09 16:18:44 IST 2025","passed","Sat Aug 09 16:18:45 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_GET_BookingByID_AfterUpdate"
"","1770","test_POST_CreateToken","Restful Booker E2E Suite","Sat Aug 09 16:18:39 IST 2025","passed","Sat Aug 09 16:18:41 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_POST_CreateToken"
"","1139","test_DELETE_Booking","Restful Booker E2E Suite","Sat Aug 09 16:18:45 IST 2025","passed","Sat Aug 09 16:18:46 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_DELETE_Booking"
"","1156","test_GET_BookingByID_AfterDelete","Restful Booker E2E Suite","Sat Aug 09 16:18:46 IST 2025","passed","Sat Aug 09 16:18:48 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_GET_BookingByID_AfterDelete"
"","1152","test_DELETE_Booking","Restful Booker E2E Suite","Sat Aug 09 16:18:45 IST 2025","passed","Sat Aug 09 16:18:46 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_DELETE_Booking"
"","2930","test_GET_PingRequest","Restful Booker E2E Suite","Sat Aug 09 16:18:36 IST 2025","passed","Sat Aug 09 16:18:39 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithPatchUpdate","test_GET_PingRequest"
"","1772","test_POST_CreateToken","Restful Booker E2E Suite","Sat Aug 09 16:18:39 IST 2025","passed","Sat Aug 09 16:18:41 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_POST_CreateToken"
"","1153","test_GET_BookingByID_Initial","Restful Booker E2E Suite","Sat Aug 09 16:18:42 IST 2025","passed","Sat Aug 09 16:18:43 IST 2025","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","E2E API Tests","com.LipiAutomation.Homework_8th_Aug.APITesting_Restfulbooker_E2E_WithFullUpdate","test_GET_BookingByID_Initial"
